avg,Feature,x1,x2,x3,x4,Units
avg.,TimeBodyAcc-mean()-X,Mean of the,linear body acceleration,on the X axis,for the domain of time.,gravity (g)
avg.,TimeBodyAcc-mean()-Y,Mean of the,linear body acceleration,on the Y axis,for the domain of time.,gravity (g)
avg.,TimeBodyAcc-mean()-Z,Mean of the,linear body acceleration,on the Z axis,for the domain of time.,gravity (g)
avg.,TimeBodyAcc-std()-X,Standard deviation of the ,linear body acceleration,on the X axis,for the domain of time.,gravity (g)
avg.,TimeBodyAcc-std()-Y,Standard deviation of the ,linear body acceleration,on the Y axis,for the domain of time.,gravity (g)
avg.,TimeBodyAcc-std()-Z,Standard deviation of the ,linear body acceleration,on the Z axis,for the domain of time.,gravity (g)
avg.,TimeGravityAcc-mean()-X,Mean of the,gravitational acceleration,on the X axis,for the domain of time.,gravity (g)
avg.,TimeGravityAcc-mean()-Y,Mean of the,gravitational acceleration,on the Y axis,for the domain of time.,gravity (g)
avg.,TimeGravityAcc-mean()-Z,Mean of the,gravitational acceleration,on the Z axis,for the domain of time.,gravity (g)
avg.,TimeGravityAcc-std()-X,Standard deviation of the ,gravitational acceleration,on the X axis,for the domain of time.,gravity (g)
avg.,TimeGravityAcc-std()-Y,Standard deviation of the ,gravitational acceleration,on the Y axis,for the domain of time.,gravity (g)
avg.,TimeGravityAcc-std()-Z,Standard deviation of the ,gravitational acceleration,on the Z axis,for the domain of time.,gravity (g)
avg.,TimeBodyAccJerk-mean()-X,Mean of the,rate of change of linear body acceleration,on the X axis,for the domain of time.,gravity per second (g/s)
avg.,TimeBodyAccJerk-mean()-Y,Mean of the,rate of change of linear body acceleration,on the Y axis,for the domain of time.,gravity per second (g/s)
avg.,TimeBodyAccJerk-mean()-Z,Mean of the,rate of change of linear body acceleration,on the Z axis,for the domain of time.,gravity per second (g/s)
avg.,TimeBodyAccJerk-std()-X,Standard deviation of the ,rate of change of linear body acceleration,on the X axis,for the domain of time.,gravity per second (g/s)
avg.,TimeBodyAccJerk-std()-Y,Standard deviation of the ,rate of change of linear body acceleration,on the Y axis,for the domain of time.,gravity per second (g/s)
